0,0.5118
1,0.5615
2,0.6222
3,0.6782
4,0.7085
5,0.7327
6,0.732
7,0.7645
8,0.7723
9,0.7803
10,0.7821
11,0.7957
12,0.8
13,0.804
14,0.8112
15,0.8145
16,0.8173
17,0.8189
18,0.825
19,0.8236
20,0.8232
21,0.8207
22,0.8239
23,0.8297
24,0.8298
25,0.8306
26,0.8307
27,0.8357
28,0.8401
29,0.8294
30,0.8346
31,0.8373
32,0.8391
33,0.8339
34,0.8381
35,0.8356
36,0.8356
37,0.8366
38,0.8344
39,0.8524
40,0.8486
41,0.8522
42,0.8545
43,0.8521
44,0.8532
45,0.855
46,0.853
47,0.8513
48,0.854
49,0.8531
50,0.8539
51,0.8536
52,0.8542
53,0.8536
54,0.854
55,0.8531
56,0.8534
57,0.8549
58,0.8541
59,0.8529
60,0.8543
61,0.8525
62,0.8552
63,0.8541
64,0.8523
65,0.855
66,0.854
67,0.8519
68,0.8551
69,0.8538
70,0.8553
71,0.8545
72,0.8548
73,0.8545
74,0.8539
75,0.8542
76,0.8556
77,0.853
78,0.8539
79,0.8535
80,0.8532
81,0.8538
82,0.8551
83,0.8522
84,0.8532
85,0.854
86,0.8535
87,0.8546
88,0.8514
89,0.8553
90,0.8541
91,0.8547
92,0.8532
93,0.8553
94,0.8536
95,0.8537
96,0.853
97,0.8538
98,0.8523
99,0.8526
100,0.8539
101,0.8522
