Column1,Will #1,Last Max,Will (bigger net),Last Max,Will (Adam),Last Max,Brian (new),Brian (new) Max
76,0.8152,0.835,0.7964,0.7983,0.2338,0.4076,0.8427,0.8442
77,0.8254,0.835,0.8013,0.8013,0.1463,0.4076,0.8379,0.8442
78,0.8282,0.835,0.7982,0.8013,0.1347,0.4076,0.835,0.8442
79,0.8234,0.835,0.7986,0.8013,0.1594,0.4076,0.8372,0.8442
80,0.8196,0.835,0.7933,0.8013,0.1883,0.4076,0.8428,0.8442
81,0.8297,0.835,0.7929,0.8013,0.2164,0.4076,0.8408,0.8442
82,0.8306,0.835,0.7991,0.8013,0.2307,0.4076,0.8379,0.8442
83,0.7906,0.835,0.7946,0.8013,0.1573,0.4076,0.8381,0.8442
84,0.8269,0.835,0.7958,0.8013,0.1884,0.4076,0.8458,0.8458
85,0.8314,0.835,0.7976,0.8013,,,0.8397,0.8458
86,0.8349,0.835,0.7939,0.8013,,,0.8386,0.8458
87,0.8286,0.835,0.798,0.8013,,,0.8426,0.8458
88,0.8335,0.835,0.7919,0.8013,,,0.8376,0.8458
89,0.8294,0.835,0.7979,0.8013,,,0.8383,0.8458
90,0.8332,0.835,0.7983,0.8013,,,0.8396,0.8458
91,0.8317,0.835,0.8019,0.8019,,,0.8362,0.8458
92,0.8272,0.835,0.7993,0.8019,,,0.8377,0.8458
93,0.8239,0.835,0.7955,0.8019,,,0.8398,0.8458
94,0.8332,0.835,0.8001,0.8019,,,0.8356,0.8458
95,0.8258,0.835,0.7959,0.8019,,,0.8321,0.8458
96,0.8301,0.835,0.7964,0.8019,,,0.8405,0.8458
97,0.8285,0.835,0.797,0.8019,,,0.8433,0.8458
98,0.8314,0.835,0.799,0.8019,,,0.8368,0.8458
99,0.8336,0.835,0.8023,0.8023,,,0.8412,0.8458
100,0.8272,0.835,0.8013,0.8023,,,0.8148,0.8458
101,0.8283,0.835,0.8002,0.8023,,,0.8378,0.8458
102,0.8312,0.835,0.7945,0.8023,,,0.8427,0.8458
103,0.8338,0.835,0.7943,0.8023,,,0.8387,0.8458
104,0.8298,0.835,0.8019,0.8023,,,0.8441,0.8458
105,0.8276,0.835,0.8012,0.8023,,,0.8424,0.8458
106,0.8307,0.835,0.7903,0.8023,,,0.8406,0.8458
107,0.8328,0.835,0.7966,0.8023,,,0.8087,0.8458
108,0.8313,0.835,0.796,0.8023,,,0.8354,0.8458
109,0.8344,0.835,0.7971,0.8023,,,0.8243,0.8458
110,0.8288,0.835,0.7972,0.8023,,,0.8315,0.8458
111,0.8274,0.835,0.7942,0.8023,,,0.8443,0.8458
112,0.8351,0.8351,0.7984,0.8023,,,0.8429,0.8458
113,0.826,0.8351,0.7969,0.8023,,,0.8384,0.8458
114,0.8326,0.8351,0.795,0.8023,,,0.8405,0.8458
115,0.8306,0.8351,0.7925,0.8023,,,0.7978,0.8458
116,0.8334,0.8351,0.7928,0.8023,,,0.8497,0.8497
117,0.8328,0.8351,0.7983,0.8023,,,0.8423,0.8497
118,0.8297,0.8351,0.7968,0.8023,,,0.8445,0.8497
119,0.8304,0.8351,0.7976,0.8023,,,0.843,0.8497
120,0.8324,0.8351,0.8028,0.8028,,,0.8437,0.8497
121,0.8273,0.8351,0.8022,0.8028,,,0.8392,0.8497
122,0.8298,0.8351,0.7947,0.8028,,,0.8435,0.8497
123,0.8342,0.8351,0.7984,0.8028,,,0.8445,0.8497
124,0.8327,0.8351,0.8011,0.8028,,,0.8433,0.8497
125,0.8307,0.8351,0.7985,0.8028,,,0.8424,0.8497
126,0.8315,0.8351,0.8042,0.8042,,,0.8438,0.8497
127,0.8316,0.8351,0.8005,0.8042,,,0.8458,0.8497
128,0.8327,0.8351,0.7964,0.8042,,,0.8431,0.8497
129,0.831,0.8351,0.7974,0.8042,,,0.8422,0.8497
130,0.8328,0.8351,0.7978,0.8042,,,0.8453,0.8497
131,0.8358,0.8358,0.7967,0.8042,,,0.8425,0.8497
132,0.8328,0.8358,0.7968,0.8042,,,0.8439,0.8497
133,0.8295,0.8358,0.7997,0.8042,,,0.8421,0.8497
134,0.8331,0.8358,0.8011,0.8042,,,0.8438,0.8497
135,0.834,0.8358,0.8021,0.8042,,,0.8416,0.8497
