0,0.4344
1,0.5505
2,0.5916
3,0.6444
4,0.6714
5,0.6853
6,0.7114
7,0.7422
8,0.7511
9,0.7597
10,0.7662
11,0.7658
12,0.7821
13,0.7882
14,0.784
15,0.7967
16,0.7957
17,0.8078
18,0.8047
19,0.8132
20,0.8197
21,0.8242
22,0.8263
23,0.829
24,0.8281
25,0.8322
26,0.8296
27,0.83
28,0.8296
29,0.8394
30,0.832
31,0.8443
32,0.8469
33,0.847
34,0.8471
35,0.8492
36,0.8463
37,0.851
38,0.8507
39,0.855
40,0.8513
41,0.8556
42,0.857
43,0.8545
44,0.8568
45,0.8562
46,0.8523
47,0.8602
48,0.8565
49,0.8589
50,0.8607
51,0.8547
52,0.8579
53,0.8613
54,0.8636
55,0.86
56,0.8617
57,0.8598
58,0.8563
59,0.8588
60,0.8572
61,0.8639
62,0.8622
63,0.8627
64,0.8645
65,0.8581
66,0.8674
67,0.8675
68,0.8682
69,0.8703
70,0.8717
71,0.8712
72,0.8706
73,0.8692
74,0.873
75,0.8729
76,0.8725
77,0.8763
78,0.8733
79,0.873
80,0.8743
81,0.8719
82,0.8743
83,0.8729
84,0.8735
85,0.8735
86,0.875
87,0.8739
88,0.8739
89,0.8741
90,0.8721
91,0.8739
92,0.875
93,0.8737
94,0.8735
95,0.8737
96,0.8736
97,0.8755
